"ap_code","latitude","longitude","fishing_method","average_catch","sd_catch","perc_trips_over_mean"
"PRS",54.386198,10.164024,"Boot",0,0,1
"PRZ",54.448437,12.623698,"Land",0,0,1
"QUT",54.837956,9.520663,"Land",1,1.73205080756888,0.285714285714286
"REK",54.104548,11.604704,"Land",1.26760563380282,2.4608810645137,0.28169014084507
"RWM",54.111282,12.090238,"Land",3.21739130434783,4.61180818156581,0.260869565217391
"RWM",54.111282,12.090238,"Boot",4.94871794871795,4.11489986906133,0.423076923076923
"RWM",54.111282,12.090238,"Kutter",6.7416934619507,7.21651272619905,0.372990353697749
"SAN",54.503004,13.622281,"Kutter",8.33818181818182,6.30712122199649,0.392727272727273
"SBH",54.408636,11.311957,"Land",2.14285714285714,3.32489775105116,0.285714285714286
"SBY",54.56615,10.025387,"Boot",0.181818181818182,0.404519917477945,0.181818181818182
"SBY",54.56615,10.025387,"Land",0.534883720930233,1.3156355916312,0.209302325581395
"SDW",54.308005,10.745262,"Land",7.36363636363636,3.47196564708602,0.363636363636364
"SHA",54.634178,10.031412,"Land",1.70588235294118,3.00029707382357,0.382352941176471
"SID",54.066025,10.774423,"Land",2,2.82842712474619,0.5
"SOK",54.325043,11.073135,"Land",1.2,1.30384048104053,0.4
"SPD",54.512624,13.165639,"Boot",8.47107438016529,11.5708501417465,0.363636363636364
"SPD",54.512624,13.165639,"Kutter",7.80357142857143,6.89679004071192,0.386904761904762
"SRF",54.266031,11.082722,"Land",1.70588235294118,1.61108293867638,0.470588235294118
"SSS",54.434017,10.168338,"Land",1.75,1.25830573921179,0.75
"SSS",54.434017,10.168338,"Boot",2.45833333333333,3.92294439848734,0.291666666666667
"STB",54.464904,10.17639,"Land",1.72222222222222,2.24409173440354,0.444444444444444
"TDN",53.993602,10.809931,"Land",1,1,0.666666666666667
"THK",54.369005,10.151129,"Land",3.18181818181818,3.15652282799228,0.272727272727273
"TVM",53.956244,10.873699,"Kutter",2.75,1.5,0.5
"TVM",53.956244,10.873699,"Boot",5.2,3.70135110466435,0.6
"WAT",54.529913,11.093687,"Land",0.333333333333333,1.43456300471354,0.0833333333333333
"WBD",54.485202,11.012264,"Land",0,0,1
"WET",54.419394,10.289443,"Boot",4.25,3.65474251584744,0.375
"WIB",54.147188,11.793784,"Land",1.28571428571429,1.23056316956332,0.380952380952381
"WIK",54.621472,13.285688,"Boot",17.7878787878788,12.0149843314442,0.515151515151515
"WIM",53.900488,11.438094,"Boot",4.33333333333333,1.86189867250253,0.333333333333333
"WIM",53.900488,11.438094,"Kutter",5.44086021505376,4.1512649513392,0.383512544802867
"WLH",54.524357,10.000103,"Land",1.83333333333333,2.99509402778846,0.277777777777778
"WUT",54.352103,12.38599,"Land",0.625,1.5551457362156,0.166666666666667
